,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
348,-23.535919999999976,-46.65774999999997,180.0,3.0,3.0,0.0,1.0,1186.2370019777345
349,-23.660839999999947,-46.619749999999954,43.0,2.0,1.0,0.0,1.0,274.79056594116423
350,-23.535919999999976,-46.65774999999997,130.0,3.0,2.0,0.0,1.0,836.470132148295
351,-23.558389999999967,-46.63291999999996,59.0,3.0,2.0,0.0,1.0,431.92409112840437
352,-23.54056999999995,-46.67235999999997,146.0,4.0,4.0,2.0,2.0,1259.0830344663573
353,-23.51476999999994,-46.56380999999993,140.0,3.0,2.0,1.0,1.0,866.2606420125561
354,-23.575509999999948,-46.65025999999993,240.0,4.0,3.0,0.0,3.0,1803.067395199573
355,-23.61914999999993,-46.740679999999934,464.0,3.0,4.0,2.0,4.0,3365.1704106157167
356,-23.680559954922906,-46.647164903882505,51.0,2.0,2.0,0.0,1.0,405.936509532556
357,-23.543269999999946,-46.64887999999996,139.0,3.0,2.0,0.0,1.0,881.4281956813188
358,-23.62035999999995,-46.67229999999995,290.0,3.0,5.0,3.0,3.0,2313.359523933156
359,-23.477769999999968,-46.643279999999955,54.0,2.0,1.0,0.0,1.0,353.4729018873885
360,-23.586699999999947,-46.67827999999997,119.0,3.0,3.0,2.0,1.0,899.5321973125123
361,-23.61848668719667,-46.69884295953932,48.0,2.0,1.0,0.0,2.0,496.31586123659855
362,-23.61914999999993,-46.740679999999934,520.0,4.0,6.0,4.0,3.0,3694.799428545316
363,-23.474569999999968,-46.69966999999997,50.0,2.0,1.0,0.0,1.0,359.538045109392
364,-23.620239999999967,-46.69574999999998,51.0,1.0,2.0,1.0,1.0,468.02226104872193
365,-23.62369999999993,-46.728019999999965,215.0,4.0,4.0,3.0,4.0,1991.248318717634
366,-23.536029999999986,-46.575439999999965,97.0,3.0,2.0,1.0,2.0,787.4410598623704
367,-23.503379999999932,-46.58633999999995,80.0,3.0,1.0,0.0,2.0,605.5732102782854
368,-23.54056999999995,-46.67235999999997,136.0,4.0,3.0,2.0,3.0,1283.0502745474344
369,-23.655269999999966,-46.63895999999993,58.0,2.0,2.0,0.0,1.0,441.3309345481572
370,-23.473219999999966,-46.603749999999934,63.0,2.0,2.0,1.0,2.0,631.5142821102959
371,-23.496439999999946,-46.62925999999993,117.0,3.0,2.0,0.0,1.0,752.0187979451299
372,-23.48952999999995,-46.67284999999998,66.0,3.0,2.0,0.0,2.0,645.9445311642784
373,-23.55519999999996,-46.65712999999993,110.0,2.0,3.0,0.0,1.0,814.6201295628235
374,-23.477769999999968,-46.643279999999955,92.0,3.0,3.0,1.0,3.0,1022.906522903894
375,-23.558389999999967,-46.63291999999996,65.0,2.0,1.0,0.0,1.0,406.1753568004983
376,-23.49144999999993,-46.739719999999984,52.0,2.0,1.0,0.0,1.0,389.870072936724
377,-23.62800999999996,-46.72103999999996,347.0,3.0,5.0,3.0,5.0,2957.9669639688063
378,-23.551189999999966,-46.69710999999995,188.0,3.0,4.0,2.0,2.0,1517.8408766158966
379,-23.54207999999994,-46.74791999999997,70.0,3.0,1.0,0.0,2.0,629.3496593234961
380,-23.559179999999966,-46.568469999999934,147.0,3.0,3.0,1.0,2.0,1132.9430694433772
381,-23.529099999999968,-46.66207999999993,49.0,2.0,2.0,0.0,1.0,407.5724405784126
382,-23.54056999999995,-46.67235999999997,107.0,3.0,2.0,1.0,1.0,737.3439469591754
383,-23.601829999999946,-46.74633999999998,69.0,3.0,2.0,0.0,2.0,695.0877593229849
384,-23.536029999999986,-46.575439999999965,99.0,3.0,2.0,1.0,2.0,798.4673806624286
385,-23.570889999999967,-46.709679999999935,620.0,4.0,7.0,3.0,4.0,4439.1281484332985
386,-23.543269999999946,-46.64887999999996,370.0,4.0,4.0,3.0,3.0,2656.0649567846986
387,-23.56199999999995,-46.685969999999934,72.0,2.0,1.0,0.0,1.0,470.9901589817191
388,-23.559179999999966,-46.568469999999934,223.0,4.0,4.0,2.0,4.0,1937.7679358330038
389,-23.536029999999986,-46.575439999999965,413.0,4.0,5.0,3.0,4.0,3084.223713355579
390,-23.56199999999995,-46.685969999999934,131.0,3.0,2.0,0.0,4.0,1314.7174010395752
391,-23.521899999999963,-46.66420999999997,112.0,4.0,5.0,2.0,2.0,1142.3443402774635
392,-23.482539999999968,-46.61827999999997,245.0,3.0,2.0,1.0,3.0,1779.7291824083259
393,-23.60830999999996,-46.633999999999965,156.0,3.0,4.0,2.0,2.0,1308.0937829114346
394,-23.535919999999976,-46.65774999999997,97.0,2.0,2.0,0.0,1.0,669.8169920472387
395,-23.535919999999976,-46.65774999999997,153.0,3.0,3.0,1.0,2.0,1211.1709565269307
396,-23.462199999999942,-46.62422999999996,50.0,2.0,1.0,0.0,1.0,322.499008139898
397,-23.457669999999947,-46.74370999999997,51.0,2.0,1.0,0.0,1.0,387.5104989520388
398,-23.492569999999947,-46.63515999999999,203.0,4.0,4.0,2.0,4.0,1862.9379683538177
399,-23.558389999999967,-46.63291999999996,52.0,2.0,1.0,0.0,1.0,334.50427160012
400,-23.545229999999947,-46.659749999999974,230.0,3.0,4.0,1.0,2.0,1710.4634960455817
401,-23.55519999999996,-46.65712999999993,160.0,3.0,2.0,0.0,1.0,1000.8881466363898
402,-23.536029999999986,-46.575439999999965,110.0,4.0,2.0,1.0,3.0,997.0386858721974
403,-23.46199999999993,-46.667099999999955,67.0,2.0,1.0,0.0,1.0,437.52157284837995
404,-23.50515999999993,-46.61362999999994,126.0,3.0,3.0,2.0,2.0,1062.0516246355644
405,-23.477769999999968,-46.643279999999955,112.0,3.0,4.0,1.0,3.0,1207.2785807324608
406,-23.49145999999996,-46.65240999999998,53.0,2.0,1.0,0.0,1.0,352.0193281862232
407,-23.529219999999953,-46.696919999999984,126.0,4.0,4.0,2.0,2.0,1161.4116022384028
408,-23.493079999999967,-46.61696999999998,117.0,3.0,3.0,1.0,3.0,1147.1372172392453
409,-23.536029999999986,-46.575439999999965,88.0,3.0,3.0,1.0,2.0,811.9314660900932
410,-23.637919999999948,-46.65574999999996,68.0,2.0,1.0,0.0,1.0,431.29455449694115
411,-23.563369999999967,-46.61991999999998,60.0,2.0,1.0,0.0,1.0,371.98018141399996
412,-23.52509999999995,-46.56221999999997,52.0,2.0,1.0,0.0,1.0,300.5451748690832
413,-23.46199999999993,-46.667099999999955,60.0,2.0,1.0,0.0,1.0,398.92945004817636
414,-23.545229999999947,-46.659749999999974,248.0,3.0,3.0,1.0,2.0,1735.591533418121
415,-23.54790999999995,-46.56146999999999,65.0,2.0,2.0,0.0,1.0,445.1612825921676
416,-23.45462999999995,-46.71649999999993,46.0,2.0,1.0,0.0,1.0,346.53598875990826
417,-23.54056999999995,-46.67235999999997,270.0,4.0,3.0,0.0,4.0,2133.858279179429
418,-23.463539999999966,-46.702359999999935,45.0,2.0,1.0,0.0,1.0,333.6909196620951
419,-23.473219999999966,-46.603749999999934,45.0,1.0,1.0,0.0,1.0,299.66041283170955
420,-23.598839999999942,-46.61287999999996,63.0,2.0,2.0,0.0,1.0,457.9014770150643
421,-23.60122999999993,-46.737439999999935,48.0,2.0,1.0,0.0,1.0,362.87652395161547
422,-23.44614999999993,-46.65337999999997,50.0,2.0,1.0,0.0,1.0,337.5335161372002
423,-23.55519999999996,-46.65712999999993,177.0,3.0,3.0,0.0,1.0,1168.720723264869
424,-23.611839999999965,-46.52970999999997,48.0,2.0,1.0,0.0,1.0,259.3368440048255
425,-23.55519999999996,-46.65712999999993,36.0,1.0,1.0,1.0,1.0,294.29130484523387
426,-23.471349999999966,-46.68142999999998,60.0,2.0,2.0,0.0,1.0,479.83109339343355
427,-23.493079999999967,-46.61696999999998,40.0,1.0,1.0,0.0,1.0,277.97149372150886
428,-23.560009999999977,-46.64522999999997,44.0,1.0,1.0,0.0,1.0,311.73784909290157
